OBJECTID,x,y,Year,STRUCTURET,id,taxval,landuse,yearbuilt,storey,Structures,StrucET,Type,type,Area_m2,Area_ft2
56156,77.51461149,34.84607993,2016,Aluminum/Vinyl,154889,156500,Residential,2012,1,Single Family,Aluminum/Vinyl,Building New,A62,2321.618783,16199.40653
118081,77.34105069,34.76341808,2006,Aluminum/Vinyl,41565,110050,Residential,1983,1,Single Family,Aluminum/Vinyl,Building Existing,A10,1856.950919,23251.0374
24389,77.59478526,34.64567439,2016,Aluminum/Vinyl,10274,148610,Building Site,1985,2,Single Family,Aluminum/Vinyl,Building New,A30,200.8440474,121373.9905
120713,77.36967741,34.76801314,2006,Brick Veneer,19257,140120,Residential,1971,1,Single Family,Brick Veneer,Building Existing,A10,2547.301764,20241.90999
48298,77.45437636,34.80258687,2016,Aluminum/Vinyl,22924,103490,Residential,1972,1,Single Family,Aluminum/Vinyl,Building New,A14,418.8166555,9226.187368
110579,77.35627731,34.75140329,2006,"Frame Siding, Plywood",49966,97010,Residential,1997,1,Single Family,"Frame Siding, Plywood",Building Existing,A62,1136.984788,8191.449916
117878,77.49124636,34.76506402,2006,Siding on Sheathing,32224,84390,Residential,1980,1,Single Family,Siding on Sheathing,Building Existing,A10,1563.164996,12402.39395
96602,77.17949379,34.71320409,2006,,3623,26480,Commercial,0,1,RETAIL,,Building Existing,F16,128.0982599,15095.81492
20822,77.37064925,34.52344709,2016,Aluminum/Vinyl,48354,453470,Waterfront Sound,2015,2,Single Family,Aluminum/Vinyl,Building New,A22,1805.554828,25424.7907
56491,77.51798271,34.84804925,2016,Aluminum/Vinyl,74671,257080,Residential,2011,2,Single Family,Aluminum/Vinyl,Building New,A26,2479.878891,29519.88863
75677,77.46871376,34.46944386,2006,CEDAR/REDWOOD/CYPRESS,14896,466900,Waterview,2003,2,Beach House,CEDAR/REDWOOD/CYPRESS,Building Existing,A26,900.2927437,5024.880819
89447,77.21098971,34.68228203,2006,Aluminum/Vinyl,35463,103740,Residential,1986,1,Single Family,Aluminum/Vinyl,Building Existing,A14,1493.833111,16022.37644
112794,77.36651121,34.75558778,2006,"Frame Siding, Plywood",47009,137070,Residential,1988,1,Single Family,"Frame Siding, Plywood",Building Existing,A14,2186.405015,12998.58705
135130,77.46521491,34.80818312,2006,"Frame Siding, Plywood",55404,145230,Residential,1997,1,Single Family,"Frame Siding, Plywood",Building Existing,A58,2792.660001,17326.76904
120952,77.37334277,34.76843389,2006,Brick Veneer,25332,185820,Residential,1973,1,Single Family,Brick Veneer,Building Existing,A14,3312.72227,29989.85228
142607,77.56331526,34.84727495,2006,Aluminum/Vinyl,64407,164820,Residential,2004,2,Single Family,Aluminum/Vinyl,Building Existing,A30,1686.190946,20950.2127
49690,77.40406297,34.80985411,2016,Aluminum/Vinyl,153033,98220,Townhome,2011,2,Town Home,Aluminum/Vinyl,Building New,B32,3770.530823,1190.506433
80106,77.50054955,34.53437272,2006,Brick Veneer,238,93350,Building Site,1961,1,Single Family,Brick Veneer,Building Existing,A10,373.959979,26876.314
102333,77.52204353,34.73597352,2006,Brick Veneer,13974,164030,Building Site,1976,2,Single Family,Brick Veneer,Building Existing,A30,840.6582043,217277.9501
116581,77.3689328,34.76139624,2006,Aluminum/Vinyl,36774,173990,Residential,2003,1,Single Family,Aluminum/Vinyl,Building Existing,A62,2770.434771,15539.14988
46186,77.42132492,34.78861046,2016,,53276,1613641,Commercial,0,1,RETAIL,,Building New,D10,14787.79656,99265.865
80469,77.40366573,34.5368481,2006,ALUMINUM/VINYL,46648,72800,Residential,1995,1,Multi-Section MH,ALUMINUM/VINYL,Building Existing,B32,848.995394,19932.14949
120507,77.4380122,34.76866664,2006,Aluminum/Vinyl,7492,107210,Residential,1962,1,Single Family,Aluminum/Vinyl,Building Existing,A10,258.7651009,13048.13992
26219,77.57478377,34.68098884,2016,Log,24008,370370,Building Site,1982,2,Single Family,Log,Building New,A30,151.0293302,496916.9654
128525,77.39021047,34.783659,2006,"Frame Siding, Plywood",44052,100090,Residential,1985,1,Single Family,"Frame Siding, Plywood",Building Existing,A10,1699.14566,6106.917232
17637,77.56407782,34.47358088,2016,Aluminum/Vinyl,75987,163890,Residential,2010,1,Single Family,Aluminum/Vinyl,Building New,A62,2083.969909,8449.817284
127209,77.52452405,34.78284546,2006,Aluminum/Vinyl,3926,84730,Building Site,1961,1,Single Family,Aluminum/Vinyl,Building Existing,A10,1784.786928,34304.72295
114216,77.3229076,34.75722681,2006,Aluminum/Vinyl,10935,120310,Residential,1978,1,Single Family,Aluminum/Vinyl,Building Existing,A10,1883.240501,17130.38873
129512,77.43545927,34.78635619,2006,Brick Veneer,44780,193950,Residential,1986,2,Single Family,Brick Veneer,Building Existing,A30,2320.69669,26139.14249
81185,77.37903422,34.5440231,2006,ALUMINUM/VINYL,58682,80590,Building Site,1994,1,Multi-Section MH,ALUMINUM/VINYL,Building Existing,B35,2070.422127,14864.17576
127319,77.41083776,34.78155121,2006,Brick Veneer,15210,105850,Residential,1963,1,Single Family,Brick Veneer,Building Existing,A14,1997.533874,12488.99268
114808,77.30316785,34.75786408,2006,Aluminum/Vinyl,45597,108150,Residential,1987,1,Single Family,Aluminum/Vinyl,Building Existing,A10,1632.854422,10522.49708
135902,77.45757571,34.81061126,2006,Aluminum/Vinyl,61313,150750,Residential,2002,1,Single Family,Aluminum/Vinyl,Building Existing,A62,2582.853004,15081.21253
25948,77.18899354,34.67152836,2016,Aluminum/Vinyl,153317,77000,Townhome,2012,2,Town Home,Aluminum/Vinyl,Building New,B32,3949.212252,1300.260588
29946,77.60342082,34.70222972,2016,Aluminum/Vinyl,158616,250810,Residential,2014,2,Single Family,Aluminum/Vinyl,Building New,A26,2309.28999,12510.10349
52731,77.41375975,34.82558072,2016,Aluminum/Vinyl,159929,192670,Residential,2015,2,Single Family,Aluminum/Vinyl,Building New,A18,1688.281758,9161.424263
108033,77.37123389,34.74713378,2006,Siding on Sheathing,34464,51640,Residential,1983,1,Duplex,Siding on Sheathing,Building Existing,A10,2028.910886,4709.280299
61783,77.53692721,34.92703937,2016,Aluminum/Vinyl,159451,133410,Residential,2015,1,Single Family,Aluminum/Vinyl,Building New,A50,1906.741383,29715.27481
123683,77.42039782,34.77472399,2006,Brick Veneer,5367,112470,Residential,1977,1,Single Family,Brick Veneer,Building Existing,A14,1852.630514,16173.67221
110341,77.37653377,34.75121347,2006,Brick Frame,350,131240,Residential,1973,2,Single Family,Brick Frame,Building Existing,A30,2187.650343,15657.79961
76717,77.52495043,34.48764583,2006,Brick Veneer,28454,124840,Building Site,1962,1,Single Family,Brick Veneer,Building Existing,A10,217.0121628,218837.3962
129737,77.36620877,34.78603168,2006,Siding on Sheathing,45439,116220,Residential,1987,1,Single Family,Siding on Sheathing,Building Existing,A10,1942.490944,17109.42376
17203,77.51901422,34.4419414,2016,"ALUMINUM,VINYL",72088,400000,Building Only (No Land),2006,3,Beach Condo,"ALUMINUM,VINYL",Building New,C25,5838.321049,1007.679095
17415,77.51843039,34.45244795,2016,"ALUMINUM,VINYL",9138,252570,Waterfront Canal,1998,1,Singlewide M/H,"ALUMINUM,VINYL",Building New,B32,144.637196,7583.30164
136135,77.46341138,34.81158288,2006,Aluminum/Vinyl,21008,148170,Residential,2003,1,Single Family,Aluminum/Vinyl,Building Existing,A58,2694.699609,10359.26633
20670,77.4165283,34.52302116,2016,Aluminum/Vinyl,159267,226640,Residential,2015,2,Single Family,Aluminum/Vinyl,Building New,A18,1979.066911,13852.89133
87715,77.20140008,34.67349576,2006,Siding on Sheathing,59695,122680,Residential,1999,1,Single Family,Siding on Sheathing,Building Existing,A58,2073.590318,12389.01042
36745,77.13394112,34.73636685,2016,Aluminum/Vinyl,49615,171350,Residential,1999,1,Single Family,Aluminum/Vinyl,Building New,A62,147.7118844,47320.99519
38001,77.4318663,34.74724421,2016,Hard Board (Hardy board or pla,5149,147690,Residential,2011,1,Single Family,Hard Board (Hardy board or pla,Building New,A58,1977.945167,7599.171026
47364,77.49340988,34.79736588,2016,MODULAR METAL,32561,183510,Mobile Home Park,1975,1,Multi-Section MH,MODULAR METAL,Building New,B37,713.3930065,358160.3048
130309,77.39109158,34.78798597,2006,Aluminum/Vinyl,64100,157080,Residential,2004,2,Single Family,Aluminum/Vinyl,Building Existing,A30,1418.448585,8809.932074
86563,77.47752936,34.669818,2006,Log,17452,142230,Building Site,1978,2,Single Family,Log,Building Existing,A26,263.6891068,33730.03599
37299,77.47880828,34.7448036,2016,Aluminum/Vinyl,30042,130460,Residential,1986,1,Single Family,Aluminum/Vinyl,Building New,A14,96.49719829,12822.58882
39587,77.36355577,34.75438127,2016,Aluminum/Vinyl,63701,165190,Residential,2004,2,Single Family,Aluminum/Vinyl,Building New,A30,69.92041887,20845.18287
102655,77.33020635,34.73410524,2006,"Frame Siding, Plywood",49403,133910,Residential,1991,1,Single Family,"Frame Siding, Plywood",Building Existing,A10,2367.961886,9628.608094
54982,77.51038493,34.83847733,2016,ALUMINUM/VINYL,59275,85030,Residential,1999,1,Multi-Section MH,ALUMINUM/VINYL,Building New,B32,224.3288001,17422.21791
20154,77.37659042,34.51411184,2016,"FRAME SIDING,PLYWOOD",10564,288890,Waterfront ICW,1948,1,Beach House,"FRAME SIDING,PLYWOOD",Building New,A14,1563.791634,1438701.209
54038,77.49602142,34.83265795,2016,Aluminum/Vinyl,67639,160730,Residential,2006,1,Single Family,Aluminum/Vinyl,Building New,A58,58.05244314,16182.11488
132820,77.41951315,34.79674257,2006,"Frame Siding, Plywood",1334,97570,Residential,1975,1,Single Family,"Frame Siding, Plywood",Building Existing,A10,2225.333669,11052.83025
124038,77.49258381,34.77631244,2006,,8643,262440,Commercial,0,1,OFFICES/SERVICES,,Building Existing,F16,1074.816269,84418.20167
24003,77.38390387,34.56759368,2016,Aluminum/Vinyl,35833,86850,Waterview,1945,1,Single Family,Aluminum/Vinyl,Building New,A14,772.1386577,10052.15348
49918,77.37054288,34.81034587,2016,"ALUMINUM,VINYL",49262,46350,Building Site,2000,1,Singlewide M/H,"ALUMINUM,VINYL",Building New,B32,2394.169813,57227.91321
53042,77.4082219,34.82685087,2016,Aluminum/Vinyl,155164,167620,Residential,2012,1,Single Family,Aluminum/Vinyl,Building New,A62,2359.153545,9546.892636
86856,77.47929232,34.67127147,2006,Brick Veneer,1245,142000,Building Site,1969,1,Single Family,Brick Veneer,Building Existing,A10,2116.604964,36386.14387
131983,77.41451565,34.79342519,2006,,52276,128917,Commercial,0,1,OFFICES/SERVICES,,Building Existing,F16,4376.425049,10803.2598
111778,77.3773548,34.75404771,2006,Brick Veneer,3503,107470,Residential,1973,1,Single Family,Brick Veneer,Building Existing,A14,2434.435125,19717.56322
43812,77.40345908,34.77481585,2016,Brick Veneer,9094,112310,Residential,1973,1,Single Family,Brick Veneer,Building New,A14,77.57263056,14075.1554
71589,77.63293886,34.82592594,2016,Aluminum/Vinyl,42706,50300,Building Site Off-Road,1918,2,Single Family,Aluminum/Vinyl,Building Modified,A30,2407.424363,33444.34295
36418,77.22974008,34.73602517,2016,Aluminum/Vinyl,153708,182250,Residential,2014,1,Single Family,Aluminum/Vinyl,Building New,A62,2741.989445,14969.24345
71969,77.45966278,34.83441068,2016,Brick Veneer,12883,85020,Building Site Off-Road,1968,1,Single Family,Brick Veneer,Building Modified,A14,459.6851946,38920.0786
124708,77.43897384,34.77690508,2006,Brick Frame,24838,145820,Residential,1966,2,Single Family,Brick Frame,Building Existing,A30,2146.720052,25673.79939
88953,77.47550747,34.68371944,2006,"Frame Siding, Plywood",48646,132140,Residential,1992,1,Single Family,"Frame Siding, Plywood",Building Existing,A10,2366.084071,19220.88538
74350,77.51817129,34.44626093,2006,ALUMINUM/VINYL,1808,269240,Waterfront Canal,1993,1,Multi-Section MH,ALUMINUM/VINYL,Building Existing,B35,224.6904408,7562.701864
48046,77.20884988,34.79741297,2016,ALUMINUM/VINYL,55205,117700,Building Site Off-Road,1995,1,Multi-Section MH,ALUMINUM/VINYL,Building New,B32,473.6335704,270881.7623
44409,77.30993823,34.77698311,2016,Aluminum/Vinyl,70941,179900,Residential,2008,1,Single Family,Aluminum/Vinyl,Building New,A58,2549.67007,16938.26405
124392,77.37289096,34.77541333,2006,Brick Veneer,14526,152390,Golf Course Lot,1958,1,Single Family,Brick Veneer,Building Existing,A14,3428.693759,43914.56426
115352,77.41529448,34.76007225,2006,,15203,1732965,Commercial/Ind/Primary,0,1,RETAIL,,Building Existing,F16,12506.05838,65875.71385
118979,77.37134438,34.76532318,2006,Aluminum/Vinyl,36212,150040,Residential,1986,2,Single Family,Aluminum/Vinyl,Building Existing,A26,122.7266822,14674.00153
142558,77.46406358,34.8457075,2006,Aluminum/Vinyl,59824,183510,Residential,2002,2,Single Family,Aluminum/Vinyl,Building Existing,A30,1904.907742,25784.75177
20486,77.50347429,34.52199138,2016,Aluminum/Vinyl,57689,144440,Building Site,2007,1,Single Family,Aluminum/Vinyl,Building New,A58,1865.821006,45463.0457
63895,77.37250968,34.54861739,2016,Brick Veneer,61209,691860,Building Site,2000,1,Single Family,Brick Veneer,Building Modified,A58,200.7263966,89276.31177
56548,77.55795962,34.84897632,2016,Aluminum/Vinyl,64207,201190,Residential,2004,2,Single Family,Aluminum/Vinyl,Building New,A30,197.4840819,21820.29681
65337,77.50545626,34.69409775,2016,Aluminum/Vinyl,65866,191800,Residential,2005,2,Single Family,Aluminum/Vinyl,Building Modified,A30,1899.230534,53097.18877
18365,77.56210519,34.47979848,2016,Aluminum/Vinyl,74717,232060,Residential,2009,1,Single Family,Aluminum/Vinyl,Building New,A58,2767.222086,12832.25572
47455,77.45026663,34.79737159,2016,Aluminum/Vinyl,158249,207840,Residential,2015,2,Single Family,Aluminum/Vinyl,Building New,A18,1546.063412,13592.1416
21087,77.49583042,34.52664003,2016,Aluminum/Vinyl,158381,240170,Residential,2014,2,Single Family,Aluminum/Vinyl,Building New,A30,2402.801873,31272.40344
122239,77.4179732,34.77163043,2006,Brick Veneer,4207,129590,Residential,1968,1,Single Family,Brick Veneer,Building Existing,A14,572.2104342,15042.06191
17301,77.51313106,34.44728091,2016,ALUMINUM/VINYL,13624,261510,Residential,2007,1,Beach House,ALUMINUM/VINYL,Building New,A62,1671.073091,6516.434437
124665,77.37058896,34.77585662,2006,Brick Veneer,28778,220350,Residential,1978,1,Single Family,Brick Veneer,Building Existing,A10,4693.908355,49437.26304
77248,77.55278332,34.49554686,2006,ALUMINUM/VINYL,20572,44310,Building Site,1996,1,Multi-Section MH,ALUMINUM/VINYL,Building Existing,B32,992.44337,3999.94046
117678,77.37222501,34.76321883,2006,Aluminum/Vinyl,50291,152460,Residential,1994,2,Single Family,Aluminum/Vinyl,Building Existing,A30,1576.476178,10451.57118
20902,77.49757247,34.52564554,2016,Aluminum/Vinyl,156369,213130,Residential,2013,2,Single Family,Aluminum/Vinyl,Building New,A26,1920.138548,20693.11686
29894,77.56631654,34.70147165,2016,Aluminum/Vinyl,51226,129240,Building Site Off-Road,2008,1,Single Family,Aluminum/Vinyl,Building New,A58,2129.198461,53291.49949
95050,77.11373644,34.70710836,2006,Aluminum/Vinyl,59345,92420,Waterfront River/Creek,1940,1,Single Family,Aluminum/Vinyl,Building Existing,A14,1058.380565,25742.14957
91243,77.50419794,34.69307778,2006,Aluminum/Vinyl,65909,195000,Residential,2005,2,Single Family,Aluminum/Vinyl,Building Existing,A26,1804.48056,22025.07111
24691,77.18951971,34.65254319,2016,Hard Board (Hardy board or pla,74194,163940,Residential,2008,1,Single Family,Hard Board (Hardy board or pla,Building New,A58,2206.202757,48215.88262
45516,77.36160212,34.78383994,2016,Aluminum/Vinyl,6222,112340,Residential,1974,1,Single Family,Aluminum/Vinyl,Building New,A14,162.3436805,13824.10037
